rate,period,rate_type,exchanges_included,base_asset,calc_window,partition_size,start_time,end_time
D2X-KAIKO_BTCEUR,Q22020,real_time,"bfly,cbse,krkn,stmp",btc,60,6,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
D2X-KAIKO_BTCEUR_LDN,Q22020,index_fixing,"bfly,cbse,krkn,stmp",btc,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
D2X-KAIKO_BTCEUR_LDNLF,Q22020,index_fixing,"bfly,cbse,krkn,stmp",btc,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
D2X-KAIKO_ETHEUR,Q22020,real_time,"cbse,krkn,stmp",eth,60,6,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
D2X-KAIKO_ETHEUR_LDN,Q22020,index_fixing,"cbse,krkn,stmp",eth,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
D2X-KAIKO_ETHEUR_LDNLF,Q22020,index_fixing,"cbse,krkn,stmp",eth,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
EDX-KAIKO_BTCUSDC,Q22020,real_time,"binc,cbse,cnex,polo",btc,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
EDX-KAIKO_BTCUSDT,Q22020,real_time,"bfrx,binc,huob,okex,zbcn",btc,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
EDX-KAIKO_ETHUSDC,Q22020,real_time,"binc,cbse,cnex,krkn,polo",eth,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
EDX-KAIKO_ETHUSDT,Q22020,real_time,"bbox,binc,bitz,exxa,huob",eth,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
KK_BRR_ADAUSD,Q22020,real_time,"btrx,cexi,krkn",ada,300,30,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
KK_BRR_ADAUSD_LDN,Q22020,index_fixing,"btrx,cexi,krkn",ada,900,90,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
KK_BRR_ADAUSD_NYC,Q22020,index_fixing,"btrx,cexi,krkn",ada,1800,180,2020-06-22 22:30:00+00:00,2020-09-21 22:30:00+00:00
